type,count,amount,name,year,quarter,state
TOTAL,177205,385342488.413329,siddipet district,2018,2,telangana
TOTAL,239474,532458838.37570375,khammam district,2018,2,telangana
TOTAL,64340,118885419.59930772,narayanpet district,2018,3,telangana
TOTAL,336447,645159574.9435833,nalgonda district,2018,3,telangana
TOTAL,146075,200582619.240067,jangaon district,2018,3,telangana
TOTAL,269836,597006763.4882138,bhadradri kothagudem district,2018,3,telangana
TOTAL,252723,231352138.6100927,warangal rural district,2018,3,telangana
TOTAL,65966,96999114.92917183,kumuram bheem asifabad district,2018,3,telangana
TOTAL,236227,500986414.16078365,nizamabad district,2018,3,telangana
TOTAL,82446,147924241.56173068,adilabad district,2018,3,telangana
TOTAL,139296,252835234.79050454,rajanna sircilla district,2018,3,telangana
TOTAL,145768,329169979.6499027,nagarkurnool district,2018,3,telangana
TOTAL,334825,548785775.8472054,peddapalle district,2018,3,telangana
TOTAL,594160,443226269.8771687,nirmal district,2018,3,telangana
TOTAL,121114,192701061.46284273,mahabubabad district,2018,3,telangana
TOTAL,545979,1010420934.8381689,sangareddy district,2018,3,telangana
TOTAL,100020,216332721.70536387,wanaparthy district,2018,3,telangana
TOTAL,129624,235307091.56088716,vikarabad district,2018,3,telangana
TOTAL,178792,297447637.5977055,jagtial district,2018,3,telangana
TOTAL,229027,405998913.44494295,yadadri bhuvanagiri district,2018,3,telangana
TOTAL,121635,210873693.17207193,medak district,2018,3,telangana
TOTAL,192249,366312876.89418334,mahbubnagar district,2018,3,telangana
TOTAL,105682,230411969.4996421,jaya shankar bhalupally district,2018,3,telangana
TOTAL,952314,1158736730.452106,warangal urban district,2018,3,telangana
TOTAL,3664948,6264254849.276553,rangareddy district,2018,3,telangana
TOTAL,5786941,9503554478.108147,hyderabad district,2018,3,telangana
TOTAL,192967,383135272.8857628,suryapet district,2018,3,telangana
TOTAL,84122,156030687.5594576,jogulamba gadwal district,2018,3,telangana
TOTAL,143897,253015072.01284927,kamareddy district,2018,3,telangana
TOTAL,47313,93679044.09567732,mulugu district,2018,3,telangana
TOTAL,2684484,4630531106.973803,medchal malkajgiri district,2018,3,telangana
TOTAL,567417,773038295.5637382,karimnagar district,2018,3,telangana
TOTAL,256904,445471278.85699046,mancherial district,2018,3,telangana
TOTAL,259391,478439233.4826859,siddipet district,2018,3,telangana
TOTAL,299774,611486713.5820062,khammam district,2018,3,telangana
TOTAL,100907,202257814.50564235,narayanpet district,2018,4,telangana
TOTAL,520637,1111613192.9887385,nalgonda district,2018,4,telangana
TOTAL,222293,346124038.98747087,jangaon district,2018,4,telangana
TOTAL,362410,918355288.6277654,bhadradri kothagudem district,2018,4,telangana
TOTAL,262203,336634711.5174851,warangal rural district,2018,4,telangana
TOTAL,97325,160813736.5722501,kumuram bheem asifabad district,2018,4,telangana
TOTAL,370417,926234374.6704977,nizamabad district,2018,4,telangana
TOTAL,118804,247273348.00211674,adilabad district,2018,4,telangana
TOTAL,185776,395621217.05300003,rajanna sircilla district,2018,4,telangana
TOTAL,222915,573964533.5419515,nagarkurnool district,2018,4,telangana
TOTAL,390467,777939864.6081892,peddapalle district,2018,4,telangana
TOTAL,202583,388513382.9418751,nirmal district,2018,4,telangana
TOTAL,200557,341056970.7816761,mahabubabad district,2018,4,telangana
TOTAL,868099,1617023609.7333188,sangareddy district,2018,4,telangana
TOTAL,140124,317042568.60526896,wanaparthy district,2018,4,telangana
TOTAL,193959,380435826.31128454,vikarabad district,2018,4,telangana
TOTAL,257697,472342175.39294535,jagtial district,2018,4,telangana
TOTAL,323192,679809155.5793705,yadadri bhuvanagiri district,2018,4,telangana
TOTAL,210913,383629859.52266073,medak district,2018,4,telangana
TOTAL,269148,570068792.8662198,mahbubnagar district,2018,4,telangana
TOTAL,158929,360390222.87813485,jaya shankar bhalupally district,2018,4,telangana
TOTAL,917418,1553820916.0367613,warangal urban district,2018,4,telangana
TOTAL,5803319,9396311751.227482,rangareddy district,2018,4,telangana
TOTAL,9360515,14727846731.548256,hyderabad district,2018,4,telangana
TOTAL,311173,651181371.4555665,suryapet district,2018,4,telangana
TOTAL,137597,248514480.20406926,jogulamba gadwal district,2018,4,telangana
TOTAL,239765,478682154.9852499,kamareddy district,2018,4,telangana
TOTAL,64094,148653956.4218364,mulugu district,2018,4,telangana
TOTAL,4598129,7288821271.332444,medchal malkajgiri district,2018,4,telangana
TOTAL,597642,1058366451.9186106,karimnagar district,2018,4,telangana
TOTAL,335091,666703141.0461617,mancherial district,2018,4,telangana
TOTAL,414378,824913162.382491,siddipet district,2018,4,telangana
TOTAL,462678,958128373.8025743,khammam district,2018,4,telangana
TOTAL,174965,309771672.0671499,narayanpet district,2019,1,telangana
TOTAL,995740,1769178906.7148075,nalgonda district,2019,1,telangana
TOTAL,459535,666835161.5200422,jangaon district,2019,1,telangana
TOTAL,584648,1347048006.2547002,bhadradri kothagudem district,2019,1,telangana
TOTAL,543456,652015911.9018332,warangal rural district,2019,1,telangana
TOTAL,162055,267180135.05131233,kumuram bheem asifabad district,2019,1,telangana
TOTAL,705541,1347187035.3619022,nizamabad district,2019,1,telangana
TOTAL,202558,363233268.90475595,adilabad district,2019,1,telangana
TOTAL,336361,591748358.9669632,rajanna sircilla district,2019,1,telangana
TOTAL,394508,919667216.3119977,nagarkurnool district,2019,1,telangana
TOTAL,670381,1232197525.0656664,peddapalle district,2019,1,telangana
TOTAL,316131,513648129.4548651,nirmal district,2019,1,telangana
TOTAL,367401,589964630.444792,mahabubabad district,2019,1,telangana
TOTAL,1782207,2801488635.44757,sangareddy district,2019,1,telangana
TOTAL,256316,539178838.0241383,wanaparthy district,2019,1,telangana
TOTAL,339769,628307802.9188868,vikarabad district,2019,1,telangana
TOTAL,458055,774232192.3382725,jagtial district,2019,1,telangana
TOTAL,650221,1153306717.151112,yadadri bhuvanagiri district,2019,1,telangana
TOTAL,424439,604006323.838034,medak district,2019,1,telangana
TOTAL,505837,949702543.7309991,mahbubnagar district,2019,1,telangana
TOTAL,271387,602186464.5833509,jaya shankar bhalupally district,2019,1,telangana
TOTAL,1953906,2836690647.8977265,warangal urban district,2019,1,telangana
TOTAL,12952050,17677048557.632526,rangareddy district,2019,1,telangana
TOTAL,24838664,34892156029.40753,hyderabad district,2019,1,telangana
TOTAL,570175,1022801622.5667242,suryapet district,2019,1,telangana
TOTAL,261453,415838239.1276528,jogulamba gadwal district,2019,1,telangana
TOTAL,494329,728765333.3862631,kamareddy district,2019,1,telangana
TOTAL,117826,286242139.70046264,mulugu district,2019,1,telangana
TOTAL,10127087,13392043971.075241,medchal malkajgiri district,2019,1,telangana
TOTAL,1088155,1693944274.3067384,karimnagar district,2019,1,telangana
TOTAL,589535,1094451064.2941875,mancherial district,2019,1,telangana
TOTAL,841516,1380114923.8328254,siddipet district,2019,1,telangana
TOTAL,854495,1481079756.3855424,khammam district,2019,1,telangana
TOTAL,178965,419237051.7853179,narayanpet district,2019,2,telangana
TOTAL,982589,2323581176.516111,nalgonda district,2019,2,telangana
TOTAL,451178,880333999.3660777,jangaon district,2019,2,telangana
TOTAL,658827,1800936282.3850584,bhadradri kothagudem district,2019,2,telangana
TOTAL,525201,894990099.3555228,warangal rural district,2019,2,telangana
TOTAL,146390,319016878.8360514,kumuram bheem asifabad district,2019,2,telangana
TOTAL,782289,1812827883.3205523,nizamabad district,2019,2,telangana
TOTAL,187419,451538835.93270147,adilabad district,2019,2,telangana
TOTAL,311530,702215438.880197,rajanna sircilla district,2019,2,telangana
TOTAL,427374,1115389468.3856611,nagarkurnool district,2019,2,telangana
TOTAL,657490,1566326735.5282462,peddapalle district,2019,2,telangana
TOTAL,237118,604053955.6960328,nirmal district,2019,2,telangana
TOTAL,398457,820743447.1629949,mahabubabad district,2019,2,telangana
TOTAL,1920044,3684548498.973757,sangareddy district,2019,2,telangana
TOTAL,270228,701368465.7621387,wanaparthy district,2019,2,telangana
TOTAL,349574,741826384.7097802,vikarabad district,2019,2,telangana
TOTAL,424736,1013323553.1638029,jagtial district,2019,2,telangana
TOTAL,698908,1571831637.5126033,yadadri bhuvanagiri district,2019,2,telangana
TOTAL,415222,805791072.4725859,medak district,2019,2,telangana
TOTAL,550333,1270311793.6391454,mahbubnagar district,2019,2,telangana
TOTAL,290519,779327294.8465207,jaya shankar bhalupally district,2019,2,telangana
TOTAL,2185190,3832142348.1167383,warangal urban district,2019,2,telangana
TOTAL,16348519,25359412038.382965,rangareddy district,2019,2,telangana
TOTAL,43511186,73949377453.0185,hyderabad district,2019,2,telangana
TOTAL,565731,1389837609.2161393,suryapet district,2019,2,telangana
TOTAL,250255,525141870.7237575,jogulamba gadwal district,2019,2,telangana
TOTAL,454684,967447713.1913474,kamareddy district,2019,2,telangana
TOTAL,129404,357195912.4863805,mulugu district,2019,2,telangana
TOTAL,11891107,17462610963.470375,medchal malkajgiri district,2019,2,telangana
TOTAL,1090639,2218679006.703639,karimnagar district,2019,2,telangana
TOTAL,571186,1433729477.429565,mancherial district,2019,2,telangana
TOTAL,821209,1837834819.208163,siddipet district,2019,2,telangana
TOTAL,926878,2063514016.2549326,khammam district,2019,2,telangana
TOTAL,247799,507773417.4610101,narayanpet district,2019,3,telangana
TOTAL,1306394,2779870436.4339104,nalgonda district,2019,3,telangana
TOTAL,617113,1100060362.2325885,jangaon district,2019,3,telangana
TOTAL,950852,2217033879.641263,bhadradri kothagudem district,2019,3,telangana
TOTAL,777266,1188972512.9217644,warangal rural district,2019,3,telangana
TOTAL,201674,415529444.81707716,kumuram bheem asifabad district,2019,3,telangana
TOTAL,1143733,2214953316.84891,nizamabad district,2019,3,telangana
TOTAL,253240,520200887.3199887,adilabad district,2019,3,telangana
TOTAL,431892,866012869.1522945,rajanna sircilla district,2019,3,telangana
TOTAL,637843,1468968267.9012117,nagarkurnool district,2019,3,telangana
TOTAL,894357,1872281816.4743705,peddapalle district,2019,3,telangana
TOTAL,396272,729433727.9040974,nirmal district,2019,3,telangana
TOTAL,571751,1039765449.4495962,mahabubabad district,2019,3,telangana
TOTAL,2699670,4722370404.586679,sangareddy district,2019,3,telangana
TOTAL,346164,815418253.2839947,wanaparthy district,2019,3,telangana
TOTAL,481649,915569514.3744655,vikarabad district,2019,3,telangana
TOTAL,575677,1234356051.1108751,jagtial district,2019,3,telangana
TOTAL,930865,1868628041.0485597,yadadri bhuvanagiri district,2019,3,telangana
TOTAL,533338,962334534.8570547,medak district,2019,3,telangana
TOTAL,783236,1631760142.9440107,mahbubnagar district,2019,3,telangana
TOTAL,430844,982616709.6752173,jaya shankar bhalupally district,2019,3,telangana
TOTAL,3280635,5206094337.716869,warangal urban district,2019,3,telangana
TOTAL,23655175,33663962263.155968,rangareddy district,2019,3,telangana
TOTAL,55159072,96365182751.25804,hyderabad district,2019,3,telangana
TOTAL,716286,1573223461.217702,suryapet district,2019,3,telangana
TOTAL,372312,743159787.4650824,jogulamba gadwal district,2019,3,telangana
TOTAL,617048,1130608367.8367758,kamareddy district,2019,3,telangana
TOTAL,184715,444083132.2472038,mulugu district,2019,3,telangana
TOTAL,17492750,23256556346.306458,medchal malkajgiri district,2019,3,telangana
TOTAL,1604219,2911171015.4164953,karimnagar district,2019,3,telangana
TOTAL,772975,1753500369.2869582,mancherial district,2019,3,telangana
TOTAL,1075629,2226176148.8370996,siddipet district,2019,3,telangana
TOTAL,1352931,2602393109.2431,khammam district,2019,3,telangana
TOTAL,348020,781969185.7695559,narayanpet district,2019,4,telangana
TOTAL,1934313,4432868129.214613,nalgonda district,2019,4,telangana
TOTAL,899519,1768140547.0507903,jangaon district,2019,4,telangana
TOTAL,1404330,3333736227.921642,bhadradri kothagudem district,2019,4,telangana
TOTAL,1122699,1916370719.9451218,warangal rural district,2019,4,telangana
TOTAL,315212,636251308.4070561,kumuram bheem asifabad district,2019,4,telangana
TOTAL,1638281,3627249339.2387323,nizamabad district,2019,4,telangana
TOTAL,395004,791642341.6090925,adilabad district,2019,4,telangana
TOTAL,600689,1301541778.6067424,rajanna sircilla district,2019,4,telangana
TOTAL,933585,2233923658.115257,nagarkurnool district,2019,4,telangana
TOTAL,1360978,2960713411.6268864,peddapalle district,2019,4,telangana
TOTAL,528301,1133229683.1589468,nirmal district,2019,4,telangana
TOTAL,850549,1675353014.2975852,mahabubabad district,2019,4,telangana
TOTAL,3687957,6643761917.41535,sangareddy district,2019,4,telangana
TOTAL,507428,1216946623.313059,wanaparthy district,2019,4,telangana
TOTAL,688709,1424370972.6543646,vikarabad district,2019,4,telangana
TOTAL,853526,1885810564.1351793,jagtial district,2019,4,telangana
TOTAL,1376210,2917661179.1368203,yadadri bhuvanagiri district,2019,4,telangana
TOTAL,746346,1468382159.4114661,medak district,2019,4,telangana
TOTAL,1133602,2409813569.4080114,mahbubnagar district,2019,4,telangana
TOTAL,636364,1456148257.6858165,jaya shankar bhalupally district,2019,4,telangana
TOTAL,4698981,7877138784.222425,warangal urban district,2019,4,telangana
TOTAL,31237803,44757331443.568375,rangareddy district,2019,4,telangana
TOTAL,72987282,130230415629.3025,hyderabad district,2019,4,telangana
TOTAL,1055324,2378054140.977039,suryapet district,2019,4,telangana
TOTAL,521737,1114452481.2689347,jogulamba gadwal district,2019,4,telangana
TOTAL,896879,1897721264.8307636,kamareddy district,2019,4,telangana
TOTAL,276728,653079691.2296635,mulugu district,2019,4,telangana
TOTAL,22999944,31417907129.793076,medchal malkajgiri district,2019,4,telangana
TOTAL,2289360,4404111000.947509,karimnagar district,2019,4,telangana
TOTAL,1219849,2827258423.4489546,mancherial district,2019,4,telangana
TOTAL,1508776,3271349293.2839117,siddipet district,2019,4,telangana
TOTAL,1917973,3902061676.7459927,khammam district,2019,4,telangana
TOTAL,455130,1067253461.1912576,narayanpet district,2020,1,telangana
TOTAL,2636023,6345459438.726553,nalgonda district,2020,1,telangana
TOTAL,1358798,2902674909.8656845,jangaon district,2020,1,telangana
TOTAL,1849454,4548915939.10561,bhadradri kothagudem district,2020,1,telangana
TOTAL,1380277,2762397108.6799946,warangal rural district,2020,1,telangana
TOTAL,431200,924829748.6767043,kumuram bheem asifabad district,2020,1,telangana
TOTAL,2202642,4951415940.342635,nizamabad district,2020,1,telangana
TOTAL,521578,1199179008.426102,adilabad district,2020,1,telangana
TOTAL,771444,1821242659.8739936,rajanna sircilla district,2020,1,telangana
TOTAL,1379087,3566283298.1075497,nagarkurnool district,2020,1,telangana
TOTAL,1794982,3975776398.2863264,peddapalle district,2020,1,telangana
TOTAL,654090,1616088714.4239542,nirmal district,2020,1,telangana
TOTAL,1131336,2380623170.982039,mahabubabad district,2020,1,telangana
TOTAL,4610027,8691296108.435516,sangareddy district,2020,1,telangana
TOTAL,705583,1719603962.7896023,wanaparthy district,2020,1,telangana
TOTAL,966022,2067670438.7772045,vikarabad district,2020,1,telangana
TOTAL,1100444,2555776130.8061604,jagtial district,2020,1,telangana
TOTAL,1677327,3614895962.8076024,yadadri bhuvanagiri district,2020,1,telangana
TOTAL,969091,1971427872.180642,medak district,2020,1,telangana
TOTAL,1439754,3050397769.100156,mahbubnagar district,2020,1,telangana
TOTAL,837146,2203226556.5045834,jaya shankar bhalupally district,2020,1,telangana
TOTAL,6200767,12008422912.496418,warangal urban district,2020,1,telangana
TOTAL,31802492,45881228273.95146,rangareddy district,2020,1,telangana
TOTAL,94177232,183207208610.81787,hyderabad district,2020,1,telangana
TOTAL,1427044,3295595248.4370594,suryapet district,2020,1,telangana
TOTAL,692408,1613421876.413753,jogulamba gadwal district,2020,1,telangana
TOTAL,1148492,2474184242.60747,kamareddy district,2020,1,telangana
TOTAL,436187,1155104119.66164,mulugu district,2020,1,telangana
TOTAL,25458101,37404467180.931694,medchal malkajgiri district,2020,1,telangana
TOTAL,3037633,6437076498.978258,karimnagar district,2020,1,telangana
TOTAL,1708111,4017582988.9663706,mancherial district,2020,1,telangana
TOTAL,1912271,4387174573.133842,siddipet district,2020,1,telangana
TOTAL,2537352,5525879243.728758,khammam district,2020,1,telangana
TOTAL,695607,1503742472.362174,narayanpet district,2020,2,telangana
TOTAL,3786127,8540610042.867538,nalgonda district,2020,2,telangana
TOTAL,1759512,3498060215.3452044,jangaon district,2020,2,telangana
TOTAL,2391943,5623659100.95859,bhadradri kothagudem district,2020,2,telangana
TOTAL,2026328,3918025398.0865736,warangal rural district,2020,2,telangana
TOTAL,589630,1322968097.1360505,kumuram bheem asifabad district,2020,2,telangana
TOTAL,2750473,6638415628.443302,nizamabad district,2020,2,telangana
TOTAL,680275,1524883392.4054193,adilabad district,2020,2,telangana
TOTAL,1005107,2223196910.7411313,rajanna sircilla district,2020,2,telangana
TOTAL,2065489,4460050448.486773,nagarkurnool district,2020,2,telangana
TOTAL,2293157,4788894395.201496,peddapalle district,2020,2,telangana
TOTAL,835049,2145022169.0158358,nirmal district,2020,2,telangana
TOTAL,1721463,3572106362.348245,mahabubabad district,2020,2,telangana
TOTAL,4807036,8780427655.861984,sangareddy district,2020,2,telangana
TOTAL,1041972,2330763455.8468223,wanaparthy district,2020,2,telangana
TOTAL,1337076,2336128467.801978,vikarabad district,2020,2,telangana
TOTAL,1504160,3565039911.672269,jagtial district,2020,2,telangana
TOTAL,2018354,4098335517.574524,yadadri bhuvanagiri district,2020,2,telangana
TOTAL,1281978,2500774235.3230863,medak district,2020,2,telangana
TOTAL,1726832,3401780719.062594,mahbubnagar district,2020,2,telangana
TOTAL,1118207,2683325971.192736,jaya shankar bhalupally district,2020,2,telangana
TOTAL,6239185,13617334891.581211,warangal urban district,2020,2,telangana
TOTAL,18068048,31273545586.261536,rangareddy district,2020,2,telangana
TOTAL,56374644,130820061488.30272,hyderabad district,2020,2,telangana
TOTAL,2070003,5008825032.281717,suryapet district,2020,2,telangana
TOTAL,960673,2414251006.888463,jogulamba gadwal district,2020,2,telangana
TOTAL,1588473,3530203792.2776647,kamareddy district,2020,2,telangana
TOTAL,548767,1498496960.2545447,mulugu district,2020,2,telangana
